"Word types: A = adjective, ADV = adverb, F = function word (non-specified), N = noun, NUM = numeral, V = verb.",,,,,,,,,,,
"AoA = Age of Acquisition, new = ratings collected for the present study, MRC = ratings (not specified for word class), available on the MRC Psycholinguistic Database (1997). Oxford: Medical Research Council.",,,,,,,,,,,
"Frequency = logarithm of combined written and spoken count divided by total words in corpus of Celex Database (Baayen, R.H., Piepenbrock, R. & Gulikers, L. (1995). The CELEX Lexical Database [CD ROM]. Philadelphia, PA: Linguistic Data Consortium, University of Pennsylvania).",,,,,,,,,,,
WORD,Word type,new AoA,new Imageability,MRC AoA,MRC Imageability,Frequency,AoA_Kup,Bird_recalc,Bird_recalc2,,
bricklayer,N,437,574,.,.,0.2648,9.5,8.26509,8.06450676,,
bridge,N,284,.,289,608,1.8209,5.58,5.27088,5.30242224,,
brief,A,439,294,.,344,1.6398,8.44,8.30423,8.10527484,,
bright,A,292,.,.,489,1.9296,6.58,5.42744,5.42939856,,
brighten,V,372,440,.,.,0.6866,7.06,6.99304,6.80504336,,
bring,V,247,346,.,.,2.7098,4.42,4.54679,4.74019836,,
Britain,N,316,650,.,.,2.3672,#N/A,5.89712,5.82187824,,
broad,A,376,.,.,463,1.7067,10.5,7.07132,6.87887904,,
broaden,V,445,386,.,.,0.7846,9.56,8.42165,8.228301,,
bronze,N,448,.,.,588,1.211,10,8.48036,8.29022016,,
brood,V,527,356,.,.,1.0048,10.47,10.02639,10.01818716,,
brown,N,243,564,.,.,0.9619,4.196887,4.46851,4.68188396,,
brush,N,198,.,214,570,1.2184,3.78,3.58786,4.05901016,,
brush,V,236,561,214,570,1.3755,3.78,4.33152,4.58099184,,
brutal,A,488,.,.,427,1.1237,10.17,9.26316,9.14167776,,
brutality,N,544,.,.,489,0.7846,12,10.35908,10.41457344,,
Buddha,N,609,471,.,.,0.42,#N/A,11.63113,12.01033124,,
Buddhism,N,611,268,.,.,0.0899,#N/A,11.67027,12.06144684,,
Buddhist,N,611,354,.,.,0.6107,10.441951,11.67027,12.06144684,,
budgerigar,N,376,616,.,.,-0.301,8.98188,7.07132,6.87887904,,
buffalo,N,411,578,.,.,0.871,6.701282,7.75627,7.54547084,,
